Event,Title,Company Name,Event Logo,Category,Day of the Week,Date,Start Time,End Time,Location,Source,Description (optional)
10,Housekeeping,Baltimore County Animal Services,Baltimore-Animal-Services.jpeg,Volunteer,Weekdays,Daily,12:00 PM,8:00 PM,"Baltimore County Animal Services
Attn: Volunteer Coordinator
13800 Manor Road
Baldwin, Maryland 21013",https://www.baltimorecountymd.gov/departments/animal-services/volunteers,"VOLUNTEER REQUIREMENTS

In order to volunteer, you must:

    Be at least 18 years of age.
    Be committed to the BCAS mission of improving the lives of animals.
    Be willing to volunteer six hours per month or more depending on volunteer position.

EVENT REQUESTS

Interested in partnering with BCAS for an adoption event or community resource table? Email our Event Coordinator at bcasevents@baltimorecountymd.gov to request an appearance."
11,Caring for exotic pets,Baltimore County Animal Services,Baltimore-Animal-Services.jpeg,Volunteer,Weekdays,Daily,1:00 PM,9:00 PM,"Baltimore County Animal Services
Attn: Volunteer Coordinator
13800 Manor Road
Baldwin, Maryland 21013",https://www.baltimorecountymd.gov/departments/animal-services/volunteers,"VOLUNTEER REQUIREMENTS

In order to volunteer, you must:

    Be at least 18 years of age.
    Be committed to the BCAS mission of improving the lives of animals.
    Be willing to volunteer six hours per month or more depending on volunteer position.

EVENT REQUESTS

Interested in partnering with BCAS for an adoption event or community resource table? Email our Event Coordinator at bcasevents@baltimorecountymd.gov to request an appearance."
12,Animal handler at adoption events,Baltimore County Animal Services,Baltimore-Animal-Services.jpeg,Volunteer,Weekdays,Daily,2:00 PM,10:00 PM,"Baltimore County Animal Services
Attn: Volunteer Coordinator
13800 Manor Road
Baldwin, Maryland 21013",https://www.baltimorecountymd.gov/departments/animal-services/volunteers,"VOLUNTEER REQUIREMENTS

In order to volunteer, you must:

    Be at least 18 years of age.
    Be committed to the BCAS mission of improving the lives of animals.
    Be willing to volunteer six hours per month or more depending on volunteer position.

EVENT REQUESTS

Interested in partnering with BCAS for an adoption event or community resource table? Email our Event Coordinator at bcasevents@baltimorecountymd.gov to request an appearance."
13,Short-term or long-term fostering,Baltimore County Animal Services,Baltimore-Animal-Services.jpeg,Volunteer,Weekdays,Daily,3:00 PM,11:00 PM,"Baltimore County Animal Services
Attn: Volunteer Coordinator
13800 Manor Road
Baldwin, Maryland 21013",https://www.baltimorecountymd.gov/departments/animal-services/volunteers,"VOLUNTEER REQUIREMENTS

In order to volunteer, you must:

    Be at least 18 years of age.
    Be committed to the BCAS mission of improving the lives of animals.
    Be willing to volunteer six hours per month or more depending on volunteer position.

EVENT REQUESTS

Interested in partnering with BCAS for an adoption event or community resource table? Email our Event Coordinator at bcasevents@baltimorecountymd.gov to request an appearance."
14,Building and Repairing Homes,"""Adopt A Home""",Elevated-Home.png,Volunteer,"Monday, Wednesday, Friday",Weekly,10:00 AM,3:00 PM,"1911 Hunt Meadow Dr., Annapolis, MD 21403",https://www.marylandvoad.org/adopt-a-home/,"The Eastern Shore Long-Term Recovery Committee (ESLTRC), with the support and collaboration of Maryland VOAD, has begun a cutting-edge long-term recovery (LTR) program that combines recovery with an intentional mitigation component. This LTR has a goal to elevate and repair 100 homes!"
15,Neighborhood Cleanup,"
Clean Green Baltimore County",Vanquish-Litterzilla-Clean.png,Volunteer,Depends,September 1 through November 30,3:00 PM,6:00 PM,"County Office Building
111 West Chesapeake Avenue
Room 305
Towson, Maryland 21204 ",https://www.baltimorecountymd.gov/departments/environment/clean-green/local-cleanups,"BaltCo Litter Blitz is a Baltimore County anti-litter cleanup campaign, where community groups register online to conduct volunteer litter cleanups of any size during specified Litter Blitz timeframe. The Fall 2025 BaltCo Litter Blitz runs from September 1 through November 30. You and your group can help tackle litter in your community by hosting a cleanup this fall.  Visit the interactive BaltCo Litter Blitz hub website to learn how to register and put your cleanup on the map, and get free cleanup supplies. "
16,Assisting participants in therapeutic recreational programs,Baltimore County Government Jobs,Baltimore-Government-Jobs.png,Volunteer,Monday-Friday,Daily,8:00 AM,4:00 PM,"305 Washington Avenue
Third Floor
Towson, Maryland 21204 ",https://www.baltimorecountymd.gov/departments/recreation/jobs-volunteers,"These duties may be performed both indoors and outdoors, depending on the specific community, facility and program.

To apply for a position within a community or facility, complete the application form and return it to the appropriate community office.

For questions regarding which community or role suits you best, email the Program Leadership Office at recparksprogramleaders@baltimorecountymd.gov. "
17,Conducting guided tours of nature centers,Baltimore County Government Jobs,Baltimore-Government-Jobs.png,Volunteer,Monday-Friday,Daily,9:00 AM,5:00 PM,"305 Washington Avenue
Third Floor
Towson, Maryland 21204 ",https://www.baltimorecountymd.gov/departments/recreation/jobs-volunteers,"These duties may be performed both indoors and outdoors, depending on the specific community, facility and program.

To apply for a position within a community or facility, complete the application form and return it to the appropriate community office.

For questions regarding which community or role suits you best, email the Program Leadership Office at recparksprogramleaders@baltimorecountymd.gov. "
18,Lining ball fields,Baltimore County Government Jobs,Baltimore-Government-Jobs.png,Volunteer,Monday-Friday,Daily,10:00 AM,6:00 PM,"305 Washington Avenue
Third Floor
Towson, Maryland 21204 ",https://www.baltimorecountymd.gov/departments/recreation/jobs-volunteers,"These duties may be performed both indoors and outdoors, depending on the specific community, facility and program.

To apply for a position within a community or facility, complete the application form and return it to the appropriate community office.

For questions regarding which community or role suits you best, email the Program Leadership Office at recparksprogramleaders@baltimorecountymd.gov. "
19,Monitoring facilities for cleanliness and maintenance requirements,Baltimore County Government Jobs,Baltimore-Government-Jobs.png,Volunteer,Monday-Friday,Daily,11:00 AM,7:00 PM,"305 Washington Avenue
Third Floor
Towson, Maryland 21204 ",https://www.baltimorecountymd.gov/departments/recreation/jobs-volunteers,"These duties may be performed both indoors and outdoors, depending on the specific community, facility and program.

To apply for a position within a community or facility, complete the application form and return it to the appropriate community office.

For questions regarding which community or role suits you best, email the Program Leadership Office at recparksprogramleaders@baltimorecountymd.gov. "
20,Providing a warm welcome to visitors at front desks,Baltimore County Government Jobs,Baltimore-Government-Jobs.png,Volunteer,Monday-Friday,Daily,12:00 PM,8:00 PM,"305 Washington Avenue
Third Floor
Towson, Maryland 21204 ",https://www.baltimorecountymd.gov/departments/recreation/jobs-volunteers,"These duties may be performed both indoors and outdoors, depending on the specific community, facility and program.

To apply for a position within a community or facility, complete the application form and return it to the appropriate community office.

For questions regarding which community or role suits you best, email the Program Leadership Office at recparksprogramleaders@baltimorecountymd.gov. "
21,Working with youth in after-school programs,Baltimore County Government Jobs,Baltimore-Government-Jobs.png,Volunteer,Monday-Friday,Daily,1:00 PM,9:00 PM,"305 Washington Avenue
Third Floor
Towson, Maryland 21204 ",https://www.baltimorecountymd.gov/departments/recreation/jobs-volunteers,"These duties may be performed both indoors and outdoors, depending on the specific community, facility and program.

To apply for a position within a community or facility, complete the application form and return it to the appropriate community office.

For questions regarding which community or role suits you best, email the Program Leadership Office at recparksprogramleaders@baltimorecountymd.gov. "
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
